[FOLLOWER]: Entered Follower State
[FOLLOWER (0) | 1527027635825 ]:IP Address: localhost
[FOLLOWER (0) | 1527027635825 ]:Listening on PORT: 8080
[FOLLOWER (0) | 1527027635825 ]:HeartBeat PORT: 8081
[FOLLOWER (0) | 1527027635826 ]:Voting PORT: 8082
[FOLLOWER (0) | 1527027635826 ]:Starting Weave - A Learning Environment for the RAFT Consensus Algorithm
[Thread-0] INFO org.eclipse.jetty.util.log - Logging initialized @924ms to org.eclipse.jetty.util.log.Slf4jLog
[FOLLOWER (0) | 1527027636270 ]:Heartbeat Timeout Interval (387ms )
[Thread-0] INFO spark.embeddedserver.jetty.EmbeddedJettyServer - == Spark has ignited ...
[Thread-0] INFO spark.embeddedserver.jetty.EmbeddedJettyServer - >> Listening on 0.0.0.0:8080
[Thread-0] INFO org.eclipse.jetty.server.Server - jetty-9.4.z-SNAPSHOT, build timestamp: 2017-11-21T13:27:37-08:00, git hash: 82b8fb23f757335bb3329d540ce37a2a2615f0a8
[Thread-0] INFO org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
[Thread-0] INFO org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
[FOLLOWER (0) | 1527027636459 ]:PrevLogTerm in HeartBeat Matches
[Thread-0] INFO org.eclipse.jetty.server.session - Scavenging every 600000ms
[FOLLOWER (0) | 1527027636490 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027636493 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027636495 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027636524 ]:PrevLogTerm in HeartBeat Matches
[Thread-0] INFO org.eclipse.jetty.server.AbstractConnector - Started ServerConnector@50280679{HTTP/1.1,[http/1.1]}{0.0.0.0:8080}
[Thread-0] INFO org.eclipse.jetty.server.Server - Started @1315ms
[FOLLOWER (0) | 1527027636575 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027636631 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027636684 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027636736 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027636788 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027636841 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027636895 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027636951 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637005 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637060 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637116 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637168 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637222 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637276 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637329 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637381 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637436 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637488 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637543 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637596 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637650 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637705 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637757 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637809 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637862 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637917 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027637972 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027638022 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527027638074 ]:PrevLogTerm in HeartBeat Matches
