[FOLLOWER]: Entered Follower State
[FOLLOWER (0) | 1527032782465 ]:IP Address: localhost
[FOLLOWER (0) | 1527032782465 ]:Listening on PORT: 9000
[FOLLOWER (0) | 1527032782465 ]:HeartBeat PORT: 9001
[FOLLOWER (0) | 1527032782465 ]:Voting PORT: 9002
[FOLLOWER (0) | 1527032782465 ]:Starting Weave - A Learning Environment for the RAFT Consensus Algorithm
[Thread-0] INFO org.eclipse.jetty.util.log - Logging initialized @458ms to org.eclipse.jetty.util.log.Slf4jLog
[FOLLOWER (0) | 1527032782728 ]:Heartbeat Timeout Interval (1516ms )
[Thread-0] INFO spark.embeddedserver.jetty.EmbeddedJettyServer - == Spark has ignited ...
[Thread-0] INFO spark.embeddedserver.jetty.EmbeddedJettyServer - >> Listening on 0.0.0.0:9000
[Thread-0] INFO org.eclipse.jetty.server.Server - jetty-9.4.z-SNAPSHOT, build timestamp: 2017-11-21T13:27:37-08:00, git hash: 82b8fb23f757335bb3329d540ce37a2a2615f0a8
[Thread-0] INFO org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
[Thread-0] INFO org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
[Thread-0] INFO org.eclipse.jetty.server.session - Scavenging every 660000ms
[Thread-0] INFO org.eclipse.jetty.server.AbstractConnector - Started ServerConnector@8dd2426{HTTP/1.1,[http/1.1]}{0.0.0.0:9000}
[Thread-0] INFO org.eclipse.jetty.server.Server - Started @651ms
[FOLLOWER (0) | 1527032783087 ]:Received Request Vote w/ Origin : localhost:8080
[FOLLOWER (0) | 1527032783088 ]:Returning vote - localhost:8082
[FOLLOWER (0) | 1527032783701 ]:Received Request Vote w/ Origin : localhost:8090
[FOLLOWER (0) | 1527032783708 ]:Received Request Vote w/ Origin : localhost:8090
[FOLLOWER (0) | 1527032783715 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032783723 ]:Received Request Vote w/ Origin : localhost:8090
[FOLLOWER (0) | 1527032783730 ]:Received Request Vote w/ Origin : localhost:8090
[FOLLOWER (0) | 1527032783763 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032783791 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032783846 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032783903 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032783961 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784021 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784079 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784130 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784186 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784239 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784294 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784353 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784406 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784467 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784522 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784574 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784631 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784685 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784740 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784796 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784850 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784905 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032784961 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785013 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785066 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785124 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785180 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785235 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785289 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785342 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785393 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785448 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785501 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785557 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785611 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785664 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785717 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785771 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785824 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785876 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785927 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032785981 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786035 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786090 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786144 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786198 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786251 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786306 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786359 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786414 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786470 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786523 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786575 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786630 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786682 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786735 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786793 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786847 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786902 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032786955 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787008 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787059 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787114 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787165 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787222 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787277 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787329 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787381 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787437 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787489 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787544 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787598 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787651 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787705 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787759 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787811 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787863 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787921 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032787974 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032788027 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032788080 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032788135 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032788190 ]:PrevLogTerm in HeartBeat Matches
[FOLLOWER (0) | 1527032788243 ]:PrevLogTerm in HeartBeat Matches
